,Time,Type,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25
2,9,Clown,3.0,-3.0,3.0,0.0,0.0,3.0,0.0,-3.0,0.0,0.0,-3.0,3.0,-3.0,3.0,0.0,3.0,-3.0,-3.0,0.0,0.0,3.0,0.0,0.0,-3.0,0.0
0,10,Tuna,-2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,-1.0,-1.0,3.0,-1.0,-2.0,2.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0
1,10,Salmon,-2.0,1.0,0.0,0.0,-2.0,0.0,-2.0,0.0,1.0,1.0,-2.0,0.0,2.0,0.0,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,2.0,1.0,-1.0,0.0
2,10,Clown,3.0,-3.0,3.0,0.0,-3.0,3.0,0.0,-3.0,0.0,3.0,-3.0,3.0,-3.0,3.0,0.0,3.0,-3.0,-3.0,0.0,0.0,3.0,0.0,0.0,-3.0,0.0
0,11,Tuna,-2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,-1.0,3.0,-1.0,-2.0,2.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0
1,11,Salmon,-2.0,1.0,0.0,0.0,-2.0,-1.0,-1.0,0.0,1.0,1.0,-3.0,1.0,2.0,0.0,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0,2.0,1.0,-1.0,0.0
2,11,Clown,3.0,-3.0,3.0,0.0,-3.0,3.0,0.0,-3.0,0.0,3.0,-3.0,3.0,-3.0,3.0,0.0,3.0,-3.0,-3.0,0.0,0.0,3.0,0.0,0.0,-3.0,0.0
0,12,Tuna,-2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,-1.0,3.0,-1.0,-2.0,2.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,0.0
1,12,Salmon,-2.0,1.0,0.0,0.0,-2.0,-1.0,-1.0,0.0,1.0,1.0,-3.0,0.0,2.0,0.0,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,3.0,0.0,-1.0,0.0
2,12,Clown,3.0,-3.0,3.0,0.0,-3.0,3.0,0.0,-3.0,0.0,3.0,-3.0,3.0,0.0,3.0,0.0,3.0,-3.0,-6.0,0.0,0.0,3.0,0.0,0.0,-3.0,0.0
0,13,Tuna,-2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,-1.0,3.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,1.0,-2.0,-1.0,0.0,1.0,0.0,0.0
1,13,Salmon,-2.0,1.0,0.0,0.0,-2.0,-1.0,-1.0,0.0,1.0,2.0,-3.0,0.0,2.0,-1.0,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,3.0,0.0,-1.0,0.0
2,13,Clown,3.0,0.0,3.0,0.0,-3.0,3.0,-3.0,-3.0,0.0,3.0,-3.0,3.0,0.0,3.0,0.0,3.0,-3.0,-6.0,0.0,0.0,3.0,0.0,0.0,-3.0,0.0
0,14,Tuna,-2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,-1.0,3.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,2.0,-2.0,-1.0,0.0,1.0,-1.0,0.0
1,14,Salmon,-2.0,1.0,0.0,0.0,-2.0,-1.0,-1.0,0.0,1.0,2.0,-3.0,0.0,2.0,-1.0,0.0,-2.0,1.0,3.0,1.0,-1.0,0.0,3.0,0.0,0.0,-1.0
2,14,Clown,3.0,0.0,3.0,0.0,-3.0,3.0,-3.0,-3.0,0.0,3.0,-3.0,3.0,0.0,3.0,0.0,0.0,-3.0,-6.0,0.0,0.0,6.0,0.0,0.0,-3.0,0.0
0,15,Tuna,-2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,-1.0,3.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,2.0,-2.0,-1.0,0.0,1.0,-1.0,0.0
1,15,Salmon,-2.0,1.0,0.0,-1.0,-2.0,-3.0,1.0,0.0,2.0,2.0,-3.0,-1.0,2.0,-1.0,0.0,-2.0,2.0,3.0,1.0,-1.0,0.0,3.0,0.0,0.0,-1.0
2,15,Clown,3.0,0.0,3.0,0.0,-3.0,3.0,-3.0,-3.0,0.0,3.0,-3.0,3.0,0.0,3.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,6.0,0.0,0.0,-3.0,0.0
0,16,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,-1.0,3.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,2.0,-2.0,-1.0,0.0,1.0,-1.0,0.0
1,16,Salmon,-2.0,1.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,2.0,2.0,-3.0,-1.0,2.0,-1.0,0.0,-2.0,2.0,4.0,1.0,-1.0,0.0,3.0,-1.0,0.0,-1.0
2,16,Clown,3.0,0.0,3.0,0.0,-3.0,3.0,-3.0,-3.0,0.0,3.0,-3.0,3.0,0.0,3.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,6.0,0.0,0.0,-3.0,0.0
0,17,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,-1.0,3.0,-1.0,0.0,1.0,-1.0,-1.0,-1.0,2.0,-2.0,-1.0,0.0,1.0,-1.0,0.0
1,17,Salmon,-3.0,2.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,2.0,2.0,-3.0,-1.0,2.0,-2.0,1.0,-2.0,2.0,4.0,1.0,-1.0,0.0,3.0,-1.0,-1.0,0.0
2,17,Clown,3.0,0.0,3.0,0.0,-3.0,3.0,-3.0,-3.0,0.0,3.0,-3.0,3.0,0.0,3.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,6.0,0.0,0.0,-3.0,0.0
0,18,Tuna,-2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,-1.0,3.0,-1.0,0.0,2.0,-1.0,-1.0,-1.0,2.0,-3.0,-1.0,0.0,1.0,-1.0,0.0
1,18,Salmon,-2.0,1.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,2.0,2.0,-3.0,-1.0,2.0,-2.0,1.0,-2.0,2.0,4.0,1.0,-2.0,0.0,3.0,-1.0,-1.0,1.0
2,18,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-6.0,-3.0,0.0,3.0,-3.0,3.0,0.0,3.0,0.0,0.0,-3.0,-3.0,-3.0,0.0,6.0,0.0,0.0,-3.0,0.0
