,Time,Type,Zone1,Zone2,Zone3
0,1,Tuna,0.0,0.0,0.0
1,1,Salmon,0.0,0.0,0.0
2,1,Clown,0.0,0.0,0.0
0,2,Tuna,0.0,0.0,0.0
1,2,Salmon,3.0,-3.0,0.0
2,2,Clown,0.0,0.0,0.0
0,3,Tuna,0.0,0.0,0.0
1,3,Salmon,3.0,-3.0,0.0
2,3,Clown,0.0,0.0,0.0
0,4,Tuna,0.0,0.0,0.0
1,4,Salmon,2.0,-2.0,0.0
2,4,Clown,0.0,0.0,0.0
0,5,Tuna,0.0,0.0,0.0
1,5,Salmon,1.0,-1.0,0.0
2,5,Clown,0.0,0.0,0.0
0,6,Tuna,0.0,-1.0,1.0
1,6,Salmon,1.0,-2.0,1.0
2,6,Clown,0.0,0.0,0.0
0,7,Tuna,0.0,-1.0,1.0
1,7,Salmon,0.0,0.0,0.0
2,7,Clown,0.0,0.0,0.0
0,8,Tuna,0.0,-1.0,1.0
1,8,Salmon,0.0,0.0,0.0
2,8,Clown,0.0,1.0,-1.0
0,9,Tuna,0.0,-1.0,1.0
1,9,Salmon,0.0,0.0,0.0
2,9,Clown,0.0,1.0,-1.0
0,10,Tuna,0.0,-1.0,1.0
1,10,Salmon,0.0,0.0,0.0
2,10,Clown,0.0,1.0,-1.0
0,11,Tuna,0.0,-1.0,1.0
1,11,Salmon,0.0,0.0,0.0
2,11,Clown,0.0,1.0,-1.0
0,12,Tuna,0.0,-1.0,1.0
1,12,Salmon,0.0,0.0,0.0
2,12,Clown,0.0,1.0,-1.0
0,13,Tuna,0.0,-1.0,1.0
1,13,Salmon,-1.0,1.0,0.0
2,13,Clown,0.0,1.0,-1.0
0,14,Tuna,-1.0,0.0,1.0
1,14,Salmon,-1.0,1.0,0.0
2,14,Clown,0.0,1.0,-1.0
0,15,Tuna,-1.0,0.0,1.0
1,15,Salmon,-2.0,2.0,0.0
2,15,Clown,0.0,1.0,-1.0
0,16,Tuna,-1.0,0.0,1.0
1,16,Salmon,-2.0,2.0,0.0
2,16,Clown,0.0,1.0,-1.0
0,17,Tuna,-1.0,0.0,1.0
1,17,Salmon,-2.0,2.0,0.0
2,17,Clown,0.0,1.0,-1.0
0,18,Tuna,-1.0,0.0,1.0
1,18,Salmon,-2.0,2.0,0.0
2,18,Clown,0.0,1.0,-1.0
0,19,Tuna,-1.0,0.0,1.0
1,19,Salmon,-2.0,2.0,0.0
2,19,Clown,0.0,1.0,-1.0
0,20,Tuna,-1.0,0.0,1.0
1,20,Salmon,-2.0,3.0,-1.0
2,20,Clown,1.0,0.0,-1.0
0,21,Tuna,-2.0,1.0,1.0
1,21,Salmon,-2.0,3.0,-1.0
2,21,Clown,1.0,0.0,-1.0
0,22,Tuna,-2.0,1.0,1.0
1,22,Salmon,-2.0,3.0,-1.0
2,22,Clown,2.0,-1.0,-1.0
0,23,Tuna,-2.0,1.0,1.0
1,23,Salmon,-2.0,3.0,-1.0
2,23,Clown,2.0,-1.0,-1.0
0,24,Tuna,-2.0,1.0,1.0
1,24,Salmon,-1.0,2.0,-1.0
2,24,Clown,2.0,-1.0,-1.0
0,25,Tuna,-2.0,1.0,1.0
1,25,Salmon,-1.0,1.0,0.0
2,25,Clown,2.0,-1.0,-1.0
0,26,Tuna,-2.0,1.0,1.0
1,26,Salmon,-1.0,1.0,0.0
2,26,Clown,2.0,-1.0,-1.0
0,27,Tuna,-2.0,1.0,1.0
1,27,Salmon,-1.0,1.0,0.0
2,27,Clown,2.0,-1.0,-1.0
0,28,Tuna,-1.0,0.0,1.0
1,28,Salmon,-1.0,0.0,1.0
2,28,Clown,1.0,0.0,-1.0
0,29,Tuna,-2.0,1.0,1.0
1,29,Salmon,-1.0,0.0,1.0
2,29,Clown,1.0,0.0,-1.0
0,30,Tuna,-2.0,1.0,1.0
1,30,Salmon,-1.0,0.0,1.0
2,30,Clown,1.0,0.0,-1.0
0,31,Tuna,-2.0,1.0,1.0
1,31,Salmon,-1.0,0.0,1.0
2,31,Clown,0.0,1.0,-1.0
0,32,Tuna,-2.0,1.0,1.0
1,32,Salmon,-1.0,0.0,1.0
2,32,Clown,0.0,1.0,-1.0
0,33,Tuna,-2.0,1.0,1.0
1,33,Salmon,-1.0,1.0,0.0
2,33,Clown,0.0,1.0,-1.0
0,34,Tuna,-2.0,1.0,1.0
1,34,Salmon,-1.0,1.0,0.0
2,34,Clown,0.0,1.0,-1.0
0,35,Tuna,-2.0,1.0,1.0
1,35,Salmon,-1.0,1.0,0.0
2,35,Clown,-1.0,2.0,-1.0
0,36,Tuna,-2.0,1.0,1.0
1,36,Salmon,-2.0,1.0,1.0
2,36,Clown,-1.0,2.0,-1.0
0,37,Tuna,-2.0,1.0,1.0
1,37,Salmon,-2.0,0.0,2.0
2,37,Clown,-1.0,2.0,-1.0
0,38,Tuna,-2.0,0.0,2.0
1,38,Salmon,-2.0,0.0,2.0
2,38,Clown,-1.0,2.0,-1.0
0,39,Tuna,-1.0,-1.0,2.0
1,39,Salmon,-2.0,0.0,2.0
2,39,Clown,-2.0,3.0,-1.0
0,40,Tuna,-1.0,-2.0,3.0
1,40,Salmon,-1.0,-1.0,2.0
2,40,Clown,-2.0,3.0,-1.0
0,41,Tuna,-1.0,-2.0,3.0
1,41,Salmon,-1.0,-1.0,2.0
2,41,Clown,-1.0,2.0,-1.0
0,42,Tuna,0.0,-3.0,3.0
1,42,Salmon,-1.0,-2.0,3.0
2,42,Clown,-1.0,2.0,-1.0
0,43,Tuna,0.0,-3.0,3.0
1,43,Salmon,-1.0,-2.0,3.0
2,43,Clown,-1.0,2.0,-1.0
0,44,Tuna,0.0,-3.0,3.0
1,44,Salmon,-2.0,-2.0,4.0
2,44,Clown,-1.0,2.0,-1.0
0,45,Tuna,1.0,-4.0,3.0
1,45,Salmon,-2.0,-2.0,4.0
2,45,Clown,-1.0,2.0,-1.0
0,46,Tuna,1.0,-4.0,3.0
1,46,Salmon,-1.0,-3.0,4.0
2,46,Clown,-1.0,2.0,-1.0
0,47,Tuna,1.0,-4.0,3.0
1,47,Salmon,0.0,-3.0,3.0
2,47,Clown,-1.0,2.0,-1.0
0,48,Tuna,1.0,-4.0,3.0
1,48,Salmon,0.0,-3.0,3.0
2,48,Clown,0.0,1.0,-1.0
0,49,Tuna,2.0,-5.0,3.0
1,49,Salmon,0.0,-3.0,3.0
2,49,Clown,1.0,0.0,-1.0
0,50,Tuna,2.0,-6.0,4.0
1,50,Salmon,0.0,-3.0,3.0
2,50,Clown,1.0,0.0,-1.0
0,51,Tuna,3.0,-7.0,4.0
1,51,Salmon,0.0,-2.0,2.0
2,51,Clown,0.0,1.0,-1.0
0,52,Tuna,3.0,-7.0,4.0
1,52,Salmon,-1.0,-2.0,3.0
2,52,Clown,1.0,0.0,-1.0
0,53,Tuna,3.0,-7.0,4.0
1,53,Salmon,-1.0,-2.0,3.0
2,53,Clown,1.0,0.0,-1.0
0,54,Tuna,3.0,-7.0,4.0
1,54,Salmon,-2.0,-1.0,3.0
2,54,Clown,1.0,0.0,-1.0
0,55,Tuna,3.0,-8.0,5.0
1,55,Salmon,-1.0,-1.0,2.0
2,55,Clown,1.0,0.0,-1.0
0,56,Tuna,3.0,-7.0,4.0
1,56,Salmon,0.0,-2.0,2.0
2,56,Clown,1.0,0.0,-1.0
0,57,Tuna,3.0,-7.0,4.0
1,57,Salmon,0.0,-2.0,2.0
2,57,Clown,1.0,0.0,-1.0
0,58,Tuna,3.0,-7.0,4.0
1,58,Salmon,0.0,-3.0,3.0
2,58,Clown,1.0,0.0,-1.0
0,59,Tuna,3.0,-7.0,4.0
1,59,Salmon,0.0,-4.0,4.0
2,59,Clown,1.0,0.0,-1.0
0,60,Tuna,3.0,-7.0,4.0
1,60,Salmon,0.0,-5.0,5.0
2,60,Clown,1.0,0.0,-1.0
0,61,Tuna,3.0,-7.0,4.0
1,61,Salmon,0.0,-5.0,5.0
2,61,Clown,1.0,0.0,-1.0
0,62,Tuna,2.0,-6.0,4.0
1,62,Salmon,0.0,-5.0,5.0
2,62,Clown,1.0,0.0,-1.0
0,63,Tuna,2.0,-5.0,3.0
1,63,Salmon,0.0,-5.0,5.0
2,63,Clown,1.0,-1.0,0.0
0,64,Tuna,2.0,-5.0,3.0
1,64,Salmon,-1.0,-5.0,6.0
2,64,Clown,1.0,-1.0,0.0
0,65,Tuna,2.0,-5.0,3.0
1,65,Salmon,2.0,-9.0,7.0
2,65,Clown,1.0,-1.0,0.0
0,66,Tuna,2.0,-5.0,3.0
1,66,Salmon,2.0,-9.0,7.0
2,66,Clown,0.0,0.0,0.0
0,67,Tuna,2.0,-5.0,3.0
1,67,Salmon,3.0,-10.0,7.0
2,67,Clown,0.0,0.0,0.0
0,68,Tuna,2.0,-5.0,3.0
1,68,Salmon,3.0,-10.0,7.0
2,68,Clown,0.0,0.0,0.0
0,69,Tuna,2.0,-6.0,4.0
1,69,Salmon,2.0,-8.0,6.0
2,69,Clown,0.0,0.0,0.0
0,70,Tuna,2.0,-7.0,5.0
1,70,Salmon,3.0,-10.0,7.0
2,70,Clown,0.0,0.0,0.0
0,71,Tuna,2.0,-7.0,5.0
1,71,Salmon,3.0,-10.0,7.0
2,71,Clown,0.0,0.0,0.0
0,72,Tuna,2.0,-7.0,5.0
1,72,Salmon,3.0,-10.0,7.0
2,72,Clown,0.0,0.0,0.0
0,73,Tuna,2.0,-7.0,5.0
1,73,Salmon,4.0,-11.0,7.0
2,73,Clown,0.0,0.0,0.0
0,74,Tuna,2.0,-7.0,5.0
1,74,Salmon,4.0,-10.0,6.0
2,74,Clown,0.0,0.0,0.0
0,75,Tuna,2.0,-7.0,5.0
1,75,Salmon,4.0,-10.0,6.0
2,75,Clown,0.0,0.0,0.0
0,76,Tuna,2.0,-7.0,5.0
1,76,Salmon,4.0,-10.0,6.0
2,76,Clown,0.0,0.0,0.0
0,77,Tuna,2.0,-7.0,5.0
1,77,Salmon,4.0,-10.0,6.0
2,77,Clown,0.0,0.0,0.0
0,78,Tuna,2.0,-7.0,5.0
1,78,Salmon,5.0,-11.0,6.0
2,78,Clown,0.0,0.0,0.0
0,79,Tuna,2.0,-7.0,5.0
1,79,Salmon,5.0,-11.0,6.0
2,79,Clown,0.0,-1.0,1.0
0,80,Tuna,2.0,-7.0,5.0
1,80,Salmon,6.0,-12.0,6.0
2,80,Clown,0.0,-1.0,1.0
0,81,Tuna,2.0,-7.0,5.0
1,81,Salmon,5.0,-11.0,6.0
2,81,Clown,0.0,-1.0,1.0
0,82,Tuna,2.0,-8.0,6.0
1,82,Salmon,5.0,-11.0,6.0
2,82,Clown,0.0,-1.0,1.0
0,83,Tuna,2.0,-8.0,6.0
1,83,Salmon,5.0,-11.0,6.0
2,83,Clown,0.0,-1.0,1.0
0,84,Tuna,2.0,-8.0,6.0
1,84,Salmon,4.0,-10.0,6.0
2,84,Clown,0.0,-1.0,1.0
0,85,Tuna,3.0,-8.0,5.0
1,85,Salmon,5.0,-11.0,6.0
2,85,Clown,0.0,-1.0,1.0
0,86,Tuna,3.0,-8.0,5.0
1,86,Salmon,6.0,-11.0,5.0
2,86,Clown,0.0,-1.0,1.0
0,87,Tuna,3.0,-8.0,5.0
1,87,Salmon,6.0,-11.0,5.0
2,87,Clown,0.0,-1.0,1.0
0,88,Tuna,3.0,-8.0,5.0
1,88,Salmon,8.0,-13.0,5.0
2,88,Clown,0.0,-1.0,1.0
0,89,Tuna,3.0,-8.0,5.0
1,89,Salmon,8.0,-13.0,5.0
2,89,Clown,0.0,-1.0,1.0
0,90,Tuna,3.0,-8.0,5.0
1,90,Salmon,8.0,-13.0,5.0
2,90,Clown,0.0,-1.0,1.0
0,91,Tuna,3.0,-8.0,5.0
1,91,Salmon,9.0,-14.0,5.0
2,91,Clown,0.0,-1.0,1.0
0,92,Tuna,3.0,-8.0,5.0
1,92,Salmon,9.0,-14.0,5.0
2,92,Clown,0.0,0.0,0.0
0,93,Tuna,3.0,-8.0,5.0
1,93,Salmon,8.0,-13.0,5.0
2,93,Clown,0.0,0.0,0.0
0,94,Tuna,3.0,-8.0,5.0
1,94,Salmon,7.0,-12.0,5.0
2,94,Clown,0.0,0.0,0.0
0,95,Tuna,3.0,-8.0,5.0
1,95,Salmon,8.0,-13.0,5.0
2,95,Clown,1.0,-1.0,0.0
0,96,Tuna,3.0,-8.0,5.0
1,96,Salmon,8.0,-14.0,6.0
2,96,Clown,1.0,-1.0,0.0
0,97,Tuna,2.0,-7.0,5.0
1,97,Salmon,8.0,-14.0,6.0
2,97,Clown,1.0,-1.0,0.0
0,98,Tuna,2.0,-7.0,5.0
1,98,Salmon,7.0,-13.0,6.0
2,98,Clown,1.0,-1.0,0.0
0,99,Tuna,2.0,-7.0,5.0
1,99,Salmon,7.0,-12.0,5.0
2,99,Clown,3.0,-3.0,0.0
0,100,Tuna,2.0,-6.0,4.0
1,100,Salmon,6.0,-11.0,5.0
2,100,Clown,3.0,-3.0,0.0
0,101,Tuna,2.0,-6.0,4.0
1,101,Salmon,6.0,-12.0,6.0
2,101,Clown,3.0,-3.0,0.0
0,102,Tuna,2.0,-6.0,4.0
1,102,Salmon,6.0,-12.0,6.0
2,102,Clown,3.0,-3.0,0.0
0,103,Tuna,2.0,-6.0,4.0
1,103,Salmon,6.0,-14.0,8.0
2,103,Clown,3.0,-3.0,0.0
0,104,Tuna,2.0,-6.0,4.0
1,104,Salmon,6.0,-14.0,8.0
2,104,Clown,3.0,-3.0,0.0
0,105,Tuna,2.0,-6.0,4.0
1,105,Salmon,6.0,-14.0,8.0
2,105,Clown,2.0,-2.0,0.0
0,106,Tuna,2.0,-6.0,4.0
1,106,Salmon,7.0,-15.0,8.0
2,106,Clown,2.0,-2.0,0.0
0,107,Tuna,2.0,-6.0,4.0
1,107,Salmon,7.0,-15.0,8.0
2,107,Clown,3.0,-3.0,0.0
0,108,Tuna,2.0,-6.0,4.0
1,108,Salmon,7.0,-15.0,8.0
2,108,Clown,3.0,-3.0,0.0
0,109,Tuna,2.0,-7.0,5.0
1,109,Salmon,7.0,-15.0,8.0
2,109,Clown,3.0,-3.0,0.0
0,110,Tuna,2.0,-7.0,5.0
1,110,Salmon,7.0,-15.0,8.0
2,110,Clown,3.0,-3.0,0.0
0,111,Tuna,2.0,-7.0,5.0
1,111,Salmon,9.0,-17.0,8.0
2,111,Clown,4.0,-4.0,0.0
0,112,Tuna,2.0,-7.0,5.0
1,112,Salmon,9.0,-18.0,9.0
2,112,Clown,4.0,-5.0,1.0
0,113,Tuna,2.0,-7.0,5.0
1,113,Salmon,9.0,-18.0,9.0
2,113,Clown,4.0,-5.0,1.0
0,114,Tuna,2.0,-7.0,5.0
1,114,Salmon,9.0,-18.0,9.0
2,114,Clown,4.0,-5.0,1.0
0,115,Tuna,3.0,-10.0,7.0
1,115,Salmon,9.0,-18.0,9.0
2,115,Clown,4.0,-5.0,1.0
0,116,Tuna,2.0,-9.0,7.0
1,116,Salmon,9.0,-18.0,9.0
2,116,Clown,4.0,-5.0,1.0
0,117,Tuna,2.0,-9.0,7.0
1,117,Salmon,9.0,-18.0,9.0
2,117,Clown,5.0,-6.0,1.0
0,118,Tuna,2.0,-9.0,7.0
1,118,Salmon,7.0,-17.0,10.0
2,118,Clown,6.0,-7.0,1.0
0,119,Tuna,2.0,-9.0,7.0
1,119,Salmon,8.0,-18.0,10.0
2,119,Clown,6.0,-7.0,1.0
0,120,Tuna,2.0,-9.0,7.0
1,120,Salmon,8.0,-18.0,10.0
2,120,Clown,6.0,-7.0,1.0
0,121,Tuna,2.0,-8.0,6.0
1,121,Salmon,8.0,-18.0,10.0
2,121,Clown,6.0,-7.0,1.0
0,122,Tuna,2.0,-8.0,6.0
1,122,Salmon,8.0,-18.0,10.0
2,122,Clown,6.0,-7.0,1.0
0,123,Tuna,2.0,-8.0,6.0
1,123,Salmon,8.0,-18.0,10.0
2,123,Clown,7.0,-8.0,1.0
0,124,Tuna,2.0,-8.0,6.0
1,124,Salmon,9.0,-19.0,10.0
2,124,Clown,7.0,-8.0,1.0
0,125,Tuna,2.0,-8.0,6.0
1,125,Salmon,11.0,-21.0,10.0
2,125,Clown,7.0,-8.0,1.0
0,126,Tuna,2.0,-8.0,6.0
1,126,Salmon,11.0,-21.0,10.0
2,126,Clown,7.0,-8.0,1.0
0,127,Tuna,2.0,-8.0,6.0
1,127,Salmon,12.0,-22.0,10.0
2,127,Clown,8.0,-9.0,1.0
0,128,Tuna,2.0,-7.0,5.0
1,128,Salmon,12.0,-22.0,10.0
2,128,Clown,8.0,-9.0,1.0
0,129,Tuna,2.0,-7.0,5.0
1,129,Salmon,14.0,-24.0,10.0
2,129,Clown,8.0,-9.0,1.0
0,130,Tuna,3.0,-8.0,5.0
1,130,Salmon,14.0,-24.0,10.0
2,130,Clown,9.0,-10.0,1.0
0,131,Tuna,3.0,-8.0,5.0
1,131,Salmon,15.0,-25.0,10.0
2,131,Clown,9.0,-10.0,1.0
0,132,Tuna,3.0,-8.0,5.0
1,132,Salmon,15.0,-25.0,10.0
2,132,Clown,9.0,-10.0,1.0
0,133,Tuna,3.0,-8.0,5.0
1,133,Salmon,16.0,-28.0,12.0
2,133,Clown,9.0,-10.0,1.0
0,134,Tuna,3.0,-7.0,4.0
1,134,Salmon,16.0,-28.0,12.0
2,134,Clown,9.0,-10.0,1.0
0,135,Tuna,3.0,-7.0,4.0
1,135,Salmon,16.0,-28.0,12.0
2,135,Clown,9.0,-10.0,1.0
0,136,Tuna,3.0,-7.0,4.0
1,136,Salmon,16.0,-28.0,12.0
2,136,Clown,9.0,-10.0,1.0
0,137,Tuna,3.0,-7.0,4.0
1,137,Salmon,17.0,-29.0,12.0
2,137,Clown,9.0,-10.0,1.0
0,138,Tuna,3.0,-6.0,3.0
1,138,Salmon,17.0,-29.0,12.0
2,138,Clown,9.0,-10.0,1.0
0,139,Tuna,3.0,-6.0,3.0
1,139,Salmon,18.0,-30.0,12.0
2,139,Clown,9.0,-10.0,1.0
0,140,Tuna,3.0,-6.0,3.0
1,140,Salmon,17.0,-29.0,12.0
2,140,Clown,9.0,-10.0,1.0
0,141,Tuna,3.0,-6.0,3.0
1,141,Salmon,16.0,-28.0,12.0
2,141,Clown,9.0,-10.0,1.0
0,142,Tuna,3.0,-6.0,3.0
1,142,Salmon,16.0,-28.0,12.0
2,142,Clown,9.0,-10.0,1.0
0,143,Tuna,3.0,-6.0,3.0
1,143,Salmon,16.0,-28.0,12.0
2,143,Clown,9.0,-10.0,1.0
0,144,Tuna,3.0,-6.0,3.0
1,144,Salmon,16.0,-28.0,12.0
2,144,Clown,10.0,-11.0,1.0
0,145,Tuna,3.0,-6.0,3.0
1,145,Salmon,15.0,-27.0,12.0
2,145,Clown,10.0,-11.0,1.0
0,146,Tuna,3.0,-6.0,3.0
1,146,Salmon,15.0,-27.0,12.0
2,146,Clown,10.0,-11.0,1.0
0,147,Tuna,3.0,-6.0,3.0
